City,Website_Name,Url,Website_Rank,Availablity_Page_Number,Searching_Time,Date_Time
Paris Hotels,tripadvisor,https://www.tripadvisor.in/Hotels-g187147-Paris_Ile_de_France-Hotels.html,1,1,00:37.4,31-01-2019 03:58
Paris Hotels,booking,https://www.booking.com/city/fr/paris.html,2,1,00:37.5,31-01-2019 03:58
Paris Hotels,makemytrip,https://www.makemytrip.com/hotels-international/france/paris-hotels/,3,1,00:37.5,31-01-2019 03:58
Paris Hotels,trivago,https://www.trivago.in/paris-36103/hotel,4,1,00:37.5,31-01-2019 03:58
Paris Hotels,expedia,https://www.expedia.co.in/Paris-Hotels.d179898.Travel-Guide-Hotels,5,1,00:37.5,31-01-2019 03:58
Paris Hotels,in,https://in.hotels.com/de504261/hotels-in-paris-france/,6,1,00:37.6,31-01-2019 03:58
Paris Hotels,goibibo,https://www.goibibo.com/hotels/intl-hotels-in-paris/,7,1,00:37.6,31-01-2019 03:58
Paris Hotels,hotelscombined,https://www.hotelscombined.com/Place/Paris.htm,8,1,00:37.6,31-01-2019 03:58
Paris Hotels,agoda,https://www.agoda.com/en-in/city/paris-fr.html,9,1,00:37.6,31-01-2019 03:58
Paris Hotels,kayak,https://www.kayak.com/Paris-Hotels.36014.hotel.ksp,10,1,00:37.7,31-01-2019 03:58
Paris Hotels,lastminute,https://www.lastminute.com/hotels/city/hotels-in-Paris-FR,11,2,00:51.1,31-01-2019 03:58
Paris Hotels,accorhotels,https://www.accorhotels.com/gb/city/hotels-paris-v2996.shtml,12,2,00:51.1,31-01-2019 03:58
Paris Hotels,ihg,https://www.ihg.com/destinations/us/en/france/paris-hotels,13,2,00:51.1,31-01-2019 03:58
Paris Hotels,telegraph,https://www.telegraph.co.uk/travel/destinations/europe/france/paris/hotels/,14,2,00:51.2,31-01-2019 03:58
Paris Hotels,cntraveller,https://www.cntraveller.com/gallery/best-paris-hotels,15,2,00:51.2,31-01-2019 03:58
Paris Hotels,travel,https://travel.usnews.com/Hotels/Paris_France/,16,2,00:51.2,31-01-2019 03:58
Paris Hotels,laterooms,https://www.laterooms.com/en/k12835253_paris-hotels.aspx,17,2,00:51.2,31-01-2019 03:58
